Client Name,Average Claim Fee
BROOKHOUSE AEROSPACE LIMITED,82017.5225
FUNBIKES LIMITED,50779.33
J.S. BAILEY LIMITED,50050.93
DODD GROUP ( EASTERN)LTD,49212.2
PARADIGM PRECISION BURNLEY LTD,39215.69167
STUDLEY ENGINEERING LIMITED,37610.18333
DODD GROUP (EASTERN) LIMITED,34733.14
DODD GROUP (MIDLANDS) LIMITED,34588.185
CSH ENVIRONMENTAL LIMITED,33128.57
FENIX RAIL SYSTEMS LIMITED,31924.41667
DODD GROUP (SOUTH) LIMITED,29924.595
CAXTON BUILDERS (MIDLANDS) LIMITED,28299.14
AESTHETICS TECHNOLOGY,27607.04
SVM BUILDING DESIGN LTD,27441.715
DUNTON ENVIR/TECH ADDITIONAL BENEFIT 2024,26583
MONPET EXTRUSION LIMITED,26351.83333
GATEWAY LTD,26344.47
AESTHETIC TECHNOLOGY,26066.6
JHAIDEV ENGINEERING LIMITED,25325.61
FREEDOM RECYCLING LIMITED,23977
CONDITIONED ENVIRONMENTAL MECHANICAL SERVICES LTD,23719.86
DUNTON ENVIRONMENTAL LIMITED,23223.15
TSL LIMITED,22237.39
BROOKBANKS CONSULTING LIMITED,21965.97
ZUND UK LIMITED,21714.07667
ALBURY SERVICES LIMITED,21584.68
SLOANE CURTIS LIMITED,20442.22
WHEATLEY PLASTICS LIMITED,20087.37667
PLAS SOLUTIONS LTD,19916.14
COMPLETE VENTILATION SOLUTIONS LTD-,19600.39
HEN HOUSE WHOLESALE LTD,19270.04333
ESP SALES & SERVICE LIMITED,18577.595
BM3 ARCHITECTURE LTD,18480.26
CONCEPT PLASTIC PACKAGING LTD,18036.765
CRC (LONDON) LIMITED,17959.52
ATRITOR LIMITED,17792.41286
O1CONSTRUCTIVE.COM LTD,17357.18667
LANSGROVE LIMITED,15870.86333
CTR ( MIDLANDS) LTD,15859.12
LIDDIARD SCAFFOLDING LIMITED,15588.865
BENCHMARK FABRICATIONS LIMITED,15309.54
PRIOR + PARTNERS LIMITED,15114.68667
MIDATT LIMITED,15103.51
STUDLEY ELECTRICAL LIMITED,15092.76
CAXTON DISTRIBUTION LIMITED,14871.275
CONDITIONED ENVIRONMENT MECHANICAL SERVICES LIMITED,14621.93
SWIFT SCAFFOLDING LIMITED,14081.392
DANAHER & WALSH (CIVIL ENGINEERING) LIMITED (COPY),13864.4
JOHN ABBOT (FLOORING CONTRACTORS) LIMITED,13857.205
PROCURE4 LIMITED,13685.3
ENVISION SUSTAINABILITY LIMITED,13659.93333
WHITE BOX INTERIORS LIMITED,13564.56
ALUFOLD DIRECT LIMITED,13425.35
CREATIVE NUTRITION,13087.66333
DUNTON TECHNOLOGIES LIMITED,12613.655
JOSHUA GREAVES & SONS LIMITED,12426.07333
CAPITAL ALLOWANCES THE FRESH CHICKEN COMPANY LIMITED,12271.04
FALCONER PRINT AND PACKAGING LIMITED,12127.98
STOFIX UK LTD,12095.965
AIRFRAME DESIGNS LIMITED,12067.085
ARCHITECTURAL VISION SYSTEMS LTD,11899.59333
SLOANE CURTIS INTERIORS LTD,11892.355
CAXTON BUILDERS LTD,11856.86667
EARTHMOVER TYRE SOLUTIONS LIMITED,11792.74
CLIVE CHRISTIAN PERFUME LTD,11756.035
SYMEQS LIMITED,11327.97
PROSURV CONSULT LIMITED,11276.085
PENDLE ENGINEERING LTD,11251.08
P & R MORSON & COMPANY LTD,11205.18667
CHICKEN JOES LIMITED,11066.71
HEYSIDE PLASTICS LTD,11042.03
BUILDING ENVIRONMENTAL SOLUTIONS LTD,11015.52333
HATTONS MODEL RAILWAYS LTD,10880.045
COMPLETE VENTILATION SOLUTIONS LTD,10879.235
FRONT ROW RACING LIMITED,10685.14667
BSF SOLID SURFACES LIMITED,10510.925
MJ CATTERALL LIMITED,10500.73
RUTLAND TRADING CO LIMITED,10283.89
PPM INDUSTRIES UK LIMITED,10220.24
DORWINGEAR LIMITED,10200.96
FOCUS MRS LIMITED,10108.39
BS HANDLING SYSTEMS LTD,10000
HKR ARCHITECTURAL SERVICES LIMITED,9984.946667
CAXTON DISTRIBUTIONS,9918.76
MIISTA LIMITED,9825.26
BUILDSERVICES.CO.UK (SOUTH EAST) LIMITED,9697.29
FIRE-CORP SECURE SOLUTIONS LTD,9646.84
UNITE FLOORING LTD,9638.02
HENRY NUTTALL LIMITED,9491.7
NAVCAR LIMITED,9389.5
THE FRESH CHICKEN COMPANY LIMITED,9359.63
WARDEN CONSTRUCTION LIMITED,9215.93
COMFY SOFA LTD,9073.87
YMD BOON LIMITED,9072.76875
VISION MIDLANDS LIMITED,8987.67
CRYOGENESIS (UK) LIMITED,8876.34
SVM CONSULTING ENGINEERS LIMITED,8762.765
SHIELTEC LIMITED,8631.21
DIRECT TRADE WINDOWS LIMITED,8349.09
LINTEN GARDEN PRODUCTS LIMITED,8234.2675
REACT PROPERTY MAINTENANCE LTD,8227.97
GRIMSBY GRANULATION LIMITED,8177.923333
GREAT BRITISH DRUM COMPANY LTD,8140.688
ENVIRO CHILL LTD,7897.866667
SYMEQS LIMITED (PREV SHIELTEC LIMITED),7781.92
REVOPLAS RECYCLING SOLUTIONS LIMITED,7723.49
EDC2 LIMITED,7705.244286
MACFARLANE CONCRETE PUMPING LTD,7523.285
ADVANCE ACCOUNTANCY (AESTHETICS TECHNOLOGY) ENQUIRY DEFENCE 2021,7500
HAC PROJECTS LTD,7435.82
NORTHCOT BRICK LIMITED,7294.885
CTR (COLLECTIONS) LTD,7203.375
WATSON CONSTRUCTION LTD,7102.915
WHITES CARPENTRY LIMITED,7080.40625
WOODLEY EQUIPMENT COMPANY LIMITED,7073.485
QUEST JOINERY LTD,7026.45
? WILLIAM SMITH GROUP 1832,6996.19
ARCOFRAME LTD,6983.42
SANCO TECHNOLOGY LIMITED,6958.03
WJ STRUCTURES LTD,6603.695
CLIFFORD SPRINGS LIMITED,6398.086667
JAYVILLE ENGINEERING LIMITED,6384.8
HYDROTEC INDUSTRIAL SERVICES LTD,6349.096667
S BRANNAN & SONS LIMITED,6283.023333
COCCION CONSTRUCTION LIMITED,6253.9725
SUPERIOR SURFACES LTD,6246.363333
SECOND HOME STUDIOS LTD,6155
BEOBIA LTD,6119.956667
BOLT6 LIMITED,6103.33
MCUK FITOUTS LIMITED,6084.7
ISLAND LANDSCAPES,6054.79
ALTIN HOMES LIMITED,6052.172
SR DESIGN & BUILD LTD 2022,6048.55
POLYCOVER LIMITED,6029.12
GAUNT FRANCIS ARCHITECTS LIMITED,5978.62
OMEGA EFA LIMITED,5924.78
WALLWORK CAMBRIDGE LIMITED-,5863.97
THE MILLWARD PARTNERSHIP LTD,5837.596667
OM ELECTRICAL SERVICES LTD,5761.8575
SR DESIGN & BUILD LTD 2023,5761.05
BROWN AND BANCROFT,5729.42
GLOBAL BAGGAGE SOLUTIONS LTD,5722.463333
3D TRANS LIMITED,5720.945
ELAN FIRE PROTECTION SYSTEMS LTD,5681.425
SBR REFURBISHMENT LTD,5677.106667
BISON IBC'S LIMITED,5639.43
CASDON LIMITED,5626.645
INNOV8 DEVELOPMENT SOLUTIONS LIMITED (COPY),5598.1
SIP KITS UK LTD,5557.033333
CTR (EUROPE) LIMITED,5493.506667
BS HANDLING (CAPITAL ALLOWANCES),5465.92
TCS (UK) LIMITED,5462.99
REMAS HDG LTD,5457.2
THE LAPA COMPANY LTD,5432.09
S BRANNON & SONS LIMITED,5423.96
TOWER HIRE (SERVICES) LTD,5383.7225
FIFTY NORTH GROUP LIMITED,5250.77
GO GETTERS DELIVERY LIMITED,5249.86
THIS IS FOCUS LTD,5224.06
PW PROCESS LIMITED,5219.315
CHURCHMAN THORNHILL FINCH LIMITED,5119.681667
AUSTIN-LENIKA PROJECT SERVICES LIMITED,5073.25
OBERON PERFORMANCE LIMITED,5064.27
TRAFFIC WATCH (U.K) LIMITED,5008.4
PCL DIRECT GROUP LTD,5000
TOPL ENQUIRY DEFENCE,5000
B.P.P. TECHNICAL SERVICES LIMITED,5000
BPP CABLES LIMITED,5000
BLUESPARK AUTOMOTIVE,5000
B.P.P. CABLES LIMITED,5000
CHARTERS-REID SURVEYORS LTD,4991.376667
BABBLE LIMITED,4973.44
RAIL SIGNALLING AND POWER LIMITED,4959.235
INNOVASNACK LTD,4956.49
BROWN & BANCROFT INTERIORS LIMITED,4897.905
MALIBU BATHROOMS & KITCHENS LTD,4839.675
THE NATURAL TRAVEL COLLECTION LIMITED,4814.43
APTON PARTITIONING LIMITED,4783.235
CRYSTAL DOORS LIMITED,4700.39
MPB INSTALLATIONS LTD,4659.306667
ROCHFORD INTERTRADE LTD,4640.411667
PERSONAL REFRIGERATION LTD,4617.8125
OPTIMUM COMMERCIAL INTERIORS LIMITED,4600.03
EUROPEAN SPRINGS AND PRESSINGS LIMITED,4600
GN CONSTRUCTION LIMITED,4563.915
HURST GREEN PLASTICS LIMITED,4561.95
EVENTURE INTERNET LTD,4480.39
GHS DIRECT LIMITED,4432.336667
EDGE RENEWABLES LTD,4422.315
BAQUS GROUP LIMITED (COPY),4386
WALLWORK HEAT TREATMENT (BIRMINGHAM) LTD,4349.96
PEACH WORLDS LTD,4263.465
CENTRAL FX LIMITED,4252.043333
VITAL HEATING SOLUTIONS LIMITED,4244.3225
IHELIOS LTD,4233.84
SENTINEL MANUFACTURING LIMITED,4233.255
VIVOSTORE LTD,4189.9
KDMC SERVICES LIMITED,4151.313333
SYNERGY TECHNOLOGY LTD,4150.84
JTL SPECIAL PROJECTS LTD,4148.77
GEMASECURE LTD,4148.62
SQUARE 1 COMMUNICATION LTD,4146.25
CJF DEVELOPMENTS UK LIMITED,4136.334
RIVERSIDE MACHINERY LTD,4133.796667
SAXON CONTRACTING (NORTH WEST) LIMITED,4109.13
TERMINUS TECHNOLOGIES LIMITED,4008.85
DOX CENTRE LIMITED,4000
BROOK & MAYO LIMITED,3955.9425
BAY CAMERA & COMMUNICATIONS LIMITED,3954.49
ZEELA LTD,3926.34
LESAR UK LIMITED,3920
SECQUEST INFORMATION SECURITY LTD,3879.1325
AJS PROFILES LIMITED,3831.2
ALLSPEEDS LIMITED,3826
PLEASANT LAND DISTILLERY LTD,3779.64
CONDITIONED ENVIRONMENT MECHANICAL PROJECTS LIMITED,3776.055
MGF SERVICES LIMITED,3759.95
PRE ORDER PODS LIMITED,3733.91
CAREY SCIENTIFIC LIMITED,3723.951429
CASSIDY & ASHTON GROUP LIMITED,3720.79
HOLLOWAY PLASTICS LIMITED,3692.75
AMA DATASET 2022,3686.31
RSL (BRISTOL) LIMITED,3683.08
POT KETTLE BACK HOLDINGS,3634.83
CALEDONIAN LOGISTICS LIMITED,3629.76
POT KETTLE BLACK COFFEE LIMITED,3624
SR DESIGN & BUILD LTD,3614.83
JOHN SCOTT WORKS LIMITED,3600
BAY CAMERA COMMUNICATIONS LIMITED,3596.76
KOTINI LTD,3566.265
J.S. BAILEY LIMITED (CAPITAL ALLOWANCES),3561.78
WALLWORK HEAT TREATMENT LTD (BIRMINGHAM) LTD,3555.105
MANCHESTER ADVANCED INTELLIGENT EQUIPMENT RESEARCH & INNOVATION CENTRE LTD,3546.91
GLOBE HEAT TREATMENT SERVICES LTD,3534.875
PMP FABS LTD,3518.323333
REPUBLIQE LTD,3500
BAILEY ENGINEERING & FABRICATION LTD,3500
NORTHERN MONKEY CREATIVE MEDIA LIMITED,3500
TRIOWORLD UK LTD,3500
MARSH MACHINERY LTD,3500
MAZE MH LTD,3500
RECOM FARMHOUSE HOLDINGS LTD,3500
HILTON WEB DESIGN LTD,3500
AMA DATASET LIMITED,3500
NICK IRLAM LIMITED,3500
WE LOVE HUE LIMITED,3500
CHEMIPHASE INTERNATIONAL LIMITED,3500
PLANTECH CONSULTANCY LTD,3500
RETECH RECYCLING LIMITED,3500
DAR MARBLE LTD,3500
FULTON INDUSTRIES LTD,3476.24
POT KETTLE BLACK LTD,3462.97
PKB BAKERY LTD,3458.025
MOBILITY BATHING GROUP LIMITED,3451.43
S K ELECTRONICS LIMITED,3443.825
PINEWOOD ASSOCIATES LIMITED,3443.33
ME EXPERT LIMITED,3414.11
CAXTON FACADES LIMITED,3396.24
ARHONT SERVICES LIMITED,3381.675
SIAK TRANSFERS LIMITED,3335.916667
BOARDIES INTERNATIONAL LTD,3315.53
WALLWORK HEAT TREATMENT LTD,3307.963333
OX RESIN LIMITED,3306.226667
LITHIFY LIMITED,3272.635
HETERARCHY LIMITED,3246.355
TOPDRILL LTD,3236.206667
ENGINEERING TECHNOLOGIES & MANUFACTURING LTD,3228.615
RADIUS CONSTRUCTION LIMITED,3214.886667
P.E SYSTEMS LIMITED,3213.35
MIRIDER LIMITED,3152.61
HENRY BOOT CONSTRUCTION LIMITED,3083.14
E 4 EMPORIUM LIMITED,3079.75
ARC INFORMATICS LIMITED,3055.745
DANAHER & WALSH (CIVIL ENGINEERING) LIMITED,3001.91
AMBBY HOME PLAN LIMITED,3000
BIOEDTECH LIMITED,3000
ITOUCH REPORTING SYSTEMS LTD,3000
BPP CABLES LIMITED (FIXED FEE),3000
ROSS PNEUMATROL LTD,3000
ADVENTURE IN ARCHITECTURE LIMITED,2972.008333
CHAMBERS ENGINEERING LIMITED,2952.395
WALLWORK CAMBRIDGE LTD,2906.92
SVM BUILDING SERVICES LIMITED,2881.44
TENSAR INTERNATIONAL LIMITED,2865.53
BAY CAMERA & COMMUNICATONS LTD,2862.5
RGA UK CONSTRUCTION LIMITED,2853.523333
HARPER MORGAN LIMITED,2850.103333
RORLA LIMITED,2846.98
CTR ( ENVIRO) LTD,2845.59
SAFECONTROL LIMITED,2792.783333
THE HOUSE OF MISTRY LTD,2782.876667
SUPERIOR CATERING LTD,2727.76
LANDAU HOLDINGS LIMITED,2723.306667
NRB (FIXED FEE),2700
CLEAN IT UK/GUMBUSTERS LIMITED,2671.86
MINE ENVIRONMENT MANAGEMENT LTD,2659.387143
THE TUBE CREATION CO. LIMITED,2644.155
FRICTION COMPONENTS AND SYSTEMS LIMITED,2640.2
PIXELMILL LTD,2630.025
J NEILL DECORATING SERVICES LTD,2596.786667
ARKLEBOYCE ARCHITECTS LTD,2586.343333
TRO (SERVICES) LTD,2512.823333
FELDON MAILING SOLUTIONS LIMITED,2507.15
ENVIROO HOLDINGS LIMITED,2500
AEG MAINTENANCE LTD,2500
GRAYSON (GB) LIMITED,2500
EPIXX LIMITED,2485.173333
ARDENT AVIATION LIMITED,2468.36
BROWN & BANCROFT INTERIORS LIMITED (COPY),2428.01
CHEDDAR CREATIVE LIMITED,2345.46
BM3 LONDON LIMITED,2326.31
BAQUS GROUP LIMITED,2323.04
UKLED LTD,2314.485
POT KETTLE BLACK SPINNINGFIELDS LIMITED,2309.63
HIVE 25 LIMITED,2273.06
BLOOM DIGITAL LIMITED,2261.65
SWIFT SCAFFOLDING (CAPITAL ALLOWANCES),2250
ELECTROD UK,2245.195
SAMBELL ENGINEERING LTD,2230.41
INX LIMITED,2222.006667
METROPOLITAN AGENCY LIMITED,2182.59
JB ELITE SERVICES LIMITED,2161.483333
POLUX LIMITED,2151.8225
MLB ENGINEERING SERVICES (1994) LTD,2140.58
FLETCHERS SOLICITORS LIMITED,2071
GRANIT CHARTERED ARCHITECTS LIMITED,2066.82
SKIN MATRIX HD + COSMETOLOGY LIMITED,2050.1
POT KETTLE BLACK HOLDINGS LTD,2008.92
INTELLIGENT MEMBRANES LIMITED,1985.186667
SWYTCH GRAPHICS LIMITED,1926.25
SUTRUE LIMITED,1906.58
PROCESS TREATMENTS LIMITED,1899.35
NICHEBOX UK LIMITED,1894.51
CITADEL TECHNOLOGY LTD,1887.06
BUILDING INFORMATION SOLUTIONS LTD,1860.565
SKYLINE SYSTEMS DEVELOPMENT LTD,1851.795
ROOF-MAKER LIMITED,1807
HIGHER END CONSTRUCTION LTD,1801.39
UNDERWATERPISTOL LTD,1778.296667
JWS BUILDING SERVICES LIMITED,1748.295
CALEDONIAN LOGISTICS LIMITED (COPY),1743.33
P & R FABRICATIONS LIMITED,1721.27
CARTER BUILDING CONSULTANCY LIMITED,1717.32
DOUBLE CHECK DIGITAL ENGINEERING LTD,1713.86
INNOV8 DEVELOPMENT SOLUTIONS LIMITED,1689.9
NORTHWEST CRANKSHAFT & MACHINE LTD,1671.685
SPECIAL TOOLING LIMITED,1662.755
JONIC LIMITED,1650.57
IOT HORIZON LTD,1628.575
MOCOCO LIMITED,1623.81
ARMAPLATE UK LIMITED,1619.83
ESPOSITO'S IN THE PARK LIMITED,1616.49
DANAHER & WALSH APS LTD,1594.94
SKIN MATRIX LIMITED,1546.5
ESPOSITO DELI LIMITED,1545.93
M J ELECTRONICS LIMITED,1544.996667
WHITE BOX ELECTRICAL LTD,1544.855
WITHNELL SENSORS LIMITED,1540.75
MOSAIQUE LIMITED,1509.9
VIRIDIS BUILDING SERVICES LTD,1507.2325
IHELIOS LIVING REINVENTED LTD,1500.476667
DICE CONSULTING ENGINEERS,1469.3575
POLYGON ADVISORY LIMITED,1466.666667
WELL DUNN LTD,1450
MARINE CONTAINER TEST SERVICES LIMITED,1391.96
JPF SYSTEMS LIMITED,1382.453333
NETINSPIRE LIMITED,1378.53
THIRTY 1 DEGREES LTD,1343.173333
HEREFORD WOOD FUEL LIMITED,1289.28
ESPOSITOS WHOLESALE LTD,1265.43
PKB ANGEL GARDENS LTD,1254.63
BPY HEALTHCARE LIMITED,1254.63
ESPOSITO'S IN THE PARK LIMITED (COPY),1247.46
SQUARE 1 COMMUNICATIONS LIMITED,1245.67
WARRINGTON BUYERS CLUB LTD,1214.29
SECQUEST INFORMATION SECURITY LIMITED-,1209.46
LOTUS SILVERSTONE LTD,1177.73
CASH COW MARKETING LTD,1176.0375
SPEARHEAD TURF LIMITED,1168.095
AIRRIE UNMANNED AIRCRAFT SERVICES LIMITED,1130.39
ENKAY DIGITAL LIMITED,1112.87
GAZELLE BOOKS LTD,1108.17
PPC PROTECT LIMITED,1078.103333
PINNACLE ARCHITECTURE LIMITED,1050.24
DYSE LIMITED,1042.24
CTR (ENVIRO) LIMITED,1038.27
BM3 BIRMINGHAM,1027.585
HARROWDEN TURF LIMITED,1007.93
ADVANTAGE FABRICATION LIMITED,1002.9725
VOLTA AUDIO LIMITED,1000
TENSAR MANUFACTURING LIMITED,992.13
AM SERVICES GROUP LIMITED,982.36
NOTTINGHAM FABRICATIONS LTD,967.38
TONY PANG HEALTH & FITNESS,954.245
WOODCOTE AND COPSE LIMITED (PREV. LOTUS SILVERSTONE LIMITED),953.03
LUNAR ANIMATION LTD,930.965
SYBERDYNE SYSTEMS LIMITED,912.57
GRANTHAMS LTD,905.975
EVANS MCDOWALL ARCHITECTS LTD (COPY),813.96
S D SOLUTIONS (UK) LTD,807.1375
BEAT BLOCKS LTD,804.8
T-BAG PRODUCTIONS LIMITED,802.17
EVANS MCDOWALL ARCHITECTS LTD,759.8966667
SOFTWARE SYSTEMS DEVELOPMENTS LIMITED,746.04
D RISK IT LIMITED,744.16
TIMELAPS AI LIMITED,716.11
STATUS PRODUCTS LTD,712.955
AIRGUARD ENVIROCARE LIMITED,707.6
SHAPE ARCHITECTURE LTD,706.465
FIRE-MECH FIXINGS LIMITED,706.02
OCTAVE DESIGN SERVICES LIMITED,704.0366667
RESQUIP LIMITED,627.225
BLUE BEE CONTROLS LTD,608.49
SCENEGRAPH STUDIOS LTD,551.475
RENTIEL CALCULATIONS LTD,505.67
EMPIRE ACCOUNTING LIMITED,500
CTR ASSET MANAGEMENT,474.59
SOLUTIONS SYNTHESIS LIMITED,459.515
RESQUIP LMITED,410.51
DL DESIGN STUDIO LIMITED,394.02
SKIN MATRIX HD + COSMETOLOGY LIMITED (COPY),312.37
TIMELAPSE AI LTD,300.87
ITOUCH LIVE LIMITED,283.77
HICKMAN & SMITH ARCHITECTS LIMITED,224.58
HON LIMITED T/A INSIDE OUT DRINKS,209.08
ESPOSITO CAFFES LIMITED,200.64
CTR (MIDLANDS) LTD,195.06
FOXWOOD JOINERY LTD,0
AAHCO LIMITED,0
GO GREEN OFFICE FURNITURE LIMITED,0
CCM INTERIORS SOLUTIONS LTD,0
CEMD LTD,0
FRESH CHICKEN COMPANY,0
HANPIRE LIMITED,0
ELITE ECONOLOFT LIMITED,0
F.S. TRADE LIMITED,0
EVOLVE2 CONSULTING LTD,0
ESPOITOS DELI,0
CORPORATE ARCHITECTURE LIMITED,0
CONDOR GROUP LIMITED,0
COLE SECURITY SERVICES LIMITED,0
SURDIVAL ELECTRICAL SERVICES LIMITED,0
LIFENEST LIMITED,0
JENNOR (U.K.) LTD.,0
P.W.G. FABRICATIONS LIMITED,0
AVRS SYSTEMS,0
SHAWBURY LIMITED,0
SHAPE ARCHITECTIURE LTD,0
THE HEN HOUSE,0
SANDERS PLANT & WASTE MANAGEMENT LIMITED,0
THIRSK FURNITURE PRODUCTS LTD,0
PROSPECT ARCHAEOLOGY LIMITED,0
PARAMOUNT DIGITAL LTD,0
ORWEL ROAD LIMITED,0
BRYN THOMAS CRANES LIMITED,0
NEXT GENERATION SCAFFOLDING  LTD (COPY),0
NEXT GENERATION SCAFFOLDING  LTD,0
TRIQS CONSULTING LIMITED,0
MOCOCCO UK LIMITED,0
BOLTON STEEL STRUCTURES LIMITED,0
AMEON LIMITED,0
LEITH PLANNING LIMITED,0
JPF SYTEMS LTD,0
220 WATCH COMPANY,0
